clave_unidad,nombre,simbolo
18,Tambor de cincuenta y cinco galones (EUA),
19,Camión cisterna,
26,Tonelada real,
29,Libra por mil pies cuadrados,Lb / kft²
30,Día de potencia de caballos por tonelada métrica de aire seco,
31,Pescar,
32,Kilogramo por tonelada métrica seca del aire,
36,Pie cúbico por minuto por pie cuadrado,Ft³ / (min / ft²)
44,Bolsa a granel de quinientos kilos,
45,Bolsa a granel de trescientos kilos,
46,Bolsa a granel de cincuenta libras,
47,Bolso de cincuenta libras,
48,Carga masiva,
53,Kilogramo teórico,
54,Tonelada teórica (UK),
62,Por ciento por 1000 horas,
63,Tasa de fracaso en el tiempo,
64,"Libra por pulgada cuadrada, calibre",
66,Oersted,Oe
69,Escala específica de prueba,
71,Voltios amperios por libra,
72,Vatio por libra,
73,Amperios por centímetro,
76,Gauss,Gs
78,Kilogauss,Ks
84,Kilopound-force por pulgada cuadrada,Klbf / in²
90,Saybold segundo universal,
92,Calorías por centímetro cúbico,
93,Calorías por gramo,Cal / g
94,Unidad de curl,
95,Veinte mil galones,
96,Diez mil galones (US),
97,Diez kilos de tambor,
98,Quince kilos de tambor,
05,Ascensor,
06,Pequeño aerosol,
08,Montón de calor,
10,Grupos,
11,Equipos,
13,Raciones,
14,Shot,
15,"Palo, medida militar.",
16,Tambor de 115 kilogramos,
17,Tambor de cien libras,
1A,Milla de carros,
1B,Recuento de automóviles,
1C,Conteo de locomotoras,
1D,Caboose count,
1E,Coche vacío,
1F,Milla de tren,
1G,Galón del uso del combustible (los EUA),
1H,Milla de caboose,
1I, Tipo de interés fijo,
1J,Tonelada milla,
1K,Milla locomotora,
1L,Recuento total de automóviles,
1M,Milla total del coche,
1X,Cuarto de milla,
20, Contenedores de veinte pies,
21, Contenedor de cuarenta pies,
22,Decilitro por gramo,dl/g
23,Gramo por centímetro cúbico,g/cm³
24,Libra teórica,
25,Gramo por centímetro cuadrado,g/cm²
27,Tonelada teórica,
28,Kilogramo por metro cuadrado,kg/m²
2A,Radián por segundo,rad/s
2B,Radián por segundo cuadrado,rad/s²
2C,Roentgen,R
2G,Voltios CA,V
2H,Voltios CD,V
2I,Unidad térmica británica (tabla internacional) por hora,BtuIT/h
2J,Centímetro cúbico por segundo,cm³/s
2K,Pie cúbico por hora,ft³/h
2L,Pie cúbico por minuto,ft³/min
2M,Centímetro por segundo,cm/s
2N,Decibel,dB
2P,Kilobyte,kbyte
2Q,Kilobecquerel,kBq
2R,Kilocurie,kCi
2U,Megagramo,Mg
2V,Megagrama por hora,Mg / h
2X,Metro por minuto,m/min
2Y,Milliroentgen,mR
2Z,Milivoltio,mV
33,Kilopascal por grtr,kPa·m²/g
34,Kilopascal por milímetro,kPa/mm
35,Milímetro por un segundo centímetro cuadrado,ml/(cm²·s)
37,Onza por pie cuadrado,oz/ft²
38,"Onzas por pie cuadrado por 0,01 pulgadas",oz/(ft²/cin)
3B,Megajoule,MJ
3C,Manmonth,
3E,Libra por libra de producto,
3G,Libra por pieza de producto,
3H,Kilogramo por kilogramo de producto,
3I,Kilogramo por pedazo de producto,
40,Mililitro por segundo,ml/s
41,Mililitro por minuto,ml/min
4B,Gorra,
4C,Centistokes,cSt
4E,Veinte pack,
4G,Microlitro,µl
4H,Micra,µm
4K,Miliamperio,mA
4L,Megabyte,Mbyte
4M,Miligramo por hora,mg/h
4N,Megabequerel,MBq
4O,Microfaradio,µF
4P,Newton por metro,N/m
4Q,Onza pulgada,oz·in
4R,Onza pie,oz·ft
4T,Picofaradio,pF
4U,Libra por hora,lb/h
4W,Tonelada (EUA) por hora,ton (US) /h
4X,Kilolitro por hora,kl/h
56,Sitas,
57,Malla,
58, kilogramo neto,
59,Parte por millón,ppm
5A,Barril por minuto,barrel (US)/min
5B,Batch,
5C,Galón (US) por mil,
5E,Mmscf/day,
5F,Libra por mil,
5G,bomba,
5H,Escenario,
5I,Pies cúbicos estándar,Std
5J,Caballos de potencia hidráulica,
5K,Contar por minuto,
5P,Nivel sísmico,
5Q,Línea sísmica,
60,Tanto por ciento en peso,
61,Parte por mil millones (EUA),ppb
74,Milipascal,mPa
77,Mili-pulgada,mil
80,Libra por pulgada cuadrado absoluta,lb/in²
81,Henry,H
85,Pie libra-fuerza,ft·lbf
87,Libra por pie cúbico,lb/ft³
89,Poise,P
91,Stokes,St
A1,15 ° C calorías,Cal $ _ $
A10,Amperio por metro cuadrado por joule segundo,A·m²/(J·s)
A11,Ángstrom,Å
A12,Unidad astronómica,ua
A13,Attojoule,aJ
A14,Barn,b
A15,Barn por electrovoltio,b/eV
A16,Barn por electrovoltio ,b/(sr·eV)
A17,Barn por esteroradian,b/sr
A18,Becquerel por kilogramo,Bq/kg
A19,Becquerel por metro cúbico,Bq/m³
A2,Amperio por centímetro,A/cm
A20,Unidad térmica británica (tabla internacional) por segundo pie cuadrado grado rankine.,BtuIT/(s·ft²·°R)
A21,Unidad térmica británica (tabla internacional) por libra grado rankine,Btu/IT(lb·°R)
A22,Unidad térmica británica (tabla internacional) por segundo pie grado rankine,BtuIT/(s·ft·°R)
A23,Unidad térmica británica (tabla internacional) por hora pie cuadrado grado rankine.,BtuIT/(h·ft²·°R)
A24,Candela por metro cuadrado,cd/m²
A25,Caballo de vapor,CV
A26,Culombio metro,C·m
A27,Culombio metro cuadrado por voltio,C·m²/V
A28,Culombio por centímetro cúbico,C/cm³
A29,Culombio por metro cúbico,C/m³
A3,Amperio por milímetro,A/mm
A30,Culombio por milímetro cúbico,C/mm³
A31,Culombio por kilogramo-segundo,C/(kg·s)
A32,Culombio por Mol,C/mol
A33,Culombio por centímetro cuadrado,C/cm²
A34,Culombio por metro cuadrado,C/m²
A35,Culombio por milímetro cuadrado,C/mm²
A36,Centímetro cúbico por Mol,cm³/mol
A37,Decímetro cuadrado por Mol,dm³/mol
A38,Cubic pooulo p,m³/C
A39,Metro cúbico por kilogramo,m³/kg
A4,Amperio por centímetro cuadrado,A/cm²
A40,Metro cúbico por Mol,m³/mol
A41,Amperio por metro cuadrado,A/m²
A42,Curie por kilogramo,Ci/kg
A43,Tonelaje de peso muerto,dwt
A44,Decalitro,dal
A45,Decámetro,dam
A47,Decitex,dtex (g/10km)
A48,Grado rankine,°R
A49,Negador,den (g/9 km)
A5,Amperio metro cuadrado,A·m²
A50,Dina segundo por centímetro cúbico,Dyn · s / cm³
A51,Dina segundo por centímetro,Dyn · s / cm
A52,Dina segundo por centímetro a la quinta potencia,Dyn · s / cm⁵
A53,Electronvoltio,eV
A54,Electronvoltio por metro,eV/m
A55,Electronvoltio por metro cuadrado,eV·m²
A56,Electronvoltio metro cuadrado por kilogramo,eV·m²/kg
A57,Ergio,ergio
A58,Erg por centímetro,Erg / cm
A59,La cobertura de nubes 8-parte,
A6,Amperio por metro cuadrado Kelvin cuadrado,A/(m²·K²)
A60,Erg por centímetro cúbico,Erg / cm³
A61,Erg por gramo,Erg / g
A62,Erg por segundo gramo,Erg / g · s
A63,Erg por segundo,Ergs
A64,Erg por segundo centímetro cuadrado,Erg / (s · cm²)
A65,Erg por centímetro cuadrado segundo,Erg / (cm² · s)
A66,Erg centímetro cuadrado,Erg · cm²
A67,Erg centímetro cuadrado por gramo,Erg · cm² / g
A68,Exajoule,EJ
A69,Faradio por metro,F/m
A7,Amperio por milímetro cuadrado,A/mm²
A70,Femtojoule,fJ
A71,Femtómetro,fm
A73,Pie por segundo al cuadrado,ft/s²
A74,Pie libra-fuerza por segundo,ft·lbf/s
A75,Tonelada de carga,
A76,Galón,Gal
A77,Gaussian CGS (Centímetro-Gram-Segundo sistema) unidad de desplazamiento,
A78,Gaussiano CGS (Centímetro-Gram-Segundo sistema) unidad de corriente eléctrica,
A79,Gaussian CGS (Centímetro-Gram-Segundo sistema) unidad de carga eléctrica,
A8,Amperio segundo,A·s
A80,Gaussiano CGS (Centímetro-Gram-Segundo sistema) unidad de la fuerza del campo eléctrico,
A81,Gaussian CGS (Centímetro-Gram-Segundo sistema) unidad de polarización eléctrica,
A82,Gaussiano CGS (Centímetro-Gram-Segundo sistema) unidad de potencial eléctrico,
A83,Gaussian CGS (Centímetro-Gram-Segundo sistema) unidad de magnetización,
A84,GigaCulombio por metro cúbico,GC/m³
A85,Gigaelectrónvoltio,GeV
A86,Gigahertz,GHz
A87,GigaOhm,GΩ
A88,GigaOhm metro,GΩ·m
A89,Gigapascal,GPa
A9,Tarifa,
A90,Gigawatt,GW
A91,Grado centesimal,gon
A93,Gramo por metro cúbico,g/m³
A94,Gramo por Mol,g/mol
A95,Gray,Gy
A96,Gray por segundo,Gy/s
A97,Hectopascal,hPa
A98,Henry por metro,H/m
A99,Bit,bit
AA,Balón,
AB,Paquete a granel,pk
ACR,Acre,acre
ACT,Actividad,
AD,Byte,byte
AE,Amperio por metro,A/m
AH,Minuto adicional,
AI,Minuto y medio por llamada,
AJ,policía,
AK,Braza,fth
AL,Línea de acceso,
AMH,Amperio hora,A·h
AMP,Amperio,A
ANN,Año,y
AP,Libra de aluminio solamente,
APZ,Onza troy u onza farmacéutica ,tr oz
AQ,Unidad del factor anti-hemofílico.,
AR,supositorio,
ARE,Are,un
AS,Variedad,
ASM,Grado alcohólico en masa,
ASU,Grado alcohólico volumétrico,
ATM,Atmósfera estándar,atm
ATT,Atmósfera técnica,a
AW,Relleno de polvo en viales,
AWG,Calibre de alambre americano,AWG
AY,Montaje,
AZ,Unidad térmica británica (tabla internacional) por libra,BtuIT/lb
B0,Btu por pie cúbico,BTU / ft³
B1,Barril (EUA) por día,barrel (US)/d
B10,Bits por segundo,bit/s
B11,Joule por kilogramo kelvin,J/(kg·K)
B12,Joule por metro,J/m
B13,Joule por metro cuadrado,J/m²
B14,Joule por metro a la cuarta potencia,J/m⁴
B15,Juole por Mol,J/mol
B16,Juoule por Mol kelvin,J/(mol·K)
B17,Crédito,
B18,Segundos joule,J·s
B19,Dígito,
B2,litera,
B20,Joule metro cuadrado por kilogramo,J·m²/kg
B21,Kelvin por watt,K/W
B22,Kiloamperio,kA
B23,Kiloamperio por metro cuadrado,kA/m²
B24,Kiloamperio por metro,kA/m
B25,Kilobecquerel por metro cúbico,kBq/kg
B26,KiloCulombio,kC
B27,KiloCulombio por metro cúbico,kC/m³
B28,KiloCulombio por metro cuadrado,kC/m²
B29,Kiloelectrónvoltio,keV
B3,Libra de bateo,
B30,Gibibit,Gibit
B31,Kilogramo metro por segundo,kg·m/s
B32,Kilogramo metro cuadrado,kg·m²
B33,Kilogramo metro cuadrado por segundo,kg·m²/s
B34,Kilogramo por decímetro cúbico,kg/dm³
B35,Kilogramo por litro,kg/l or kg/L
B36,Calorías (termoquímicas) por gramo,cal th / g
B37,Kilogramo de fuerza,Kgf
B38,Kilogramo-metro de la fuerza,Kgf · m
B39,Kilogramo-fuerza del metro por segundo,Kgf · m / s
B4,"Barril, unidad imperial",
B40,Kilogramo de fuerza por metro cuadrado,Kgf / m²
B41,Kilojoule por kelvin,kJ/K
B42,Kilojoule por kilogramo,kJ/kg
B43,Kilojoule por kilogramo kelvin,kJ/(kg·K)
B44,Kilojoule por Mol ,kJ/mol
B45,KiloMol,kmol
B46,KiloMol por metro cúbico,kmol/m³
B47,Kilonewton,kN
B48,Kilonewton metro,kN·m
B49,KiloOhm,kΩ
B5,palanquilla,
B50,KiloOhm metro,kΩ·m
B51,KiloLibra,Kp
B52,Kilosegundo,ks
B53,Kilosiemens,kS
B54,Kilosiemens por metro,kS/m
B55,Kilovoltio por metro,kV/m
B56,Kiloweber por metro,kWb/m
B57,Año luz,ly
B58,Litro por Mol,l/mol
B59,Lumen hora,lm·h
B6,Bollo,
B60,Lumen por metro cuadrado,lm/m²
B61,Luminosidad por watt,lm/W
B62,Lumen segundo,lm·s
B63,Hora de luz,lx·h
B64,Segundo de luz,lx·s
B65,Maxwell,Mx
B66,Megaamperio por metro cuadrado,MA/m²
B67,Megabecquerel por kilogramo,MBq/kg
B68,Gigabit,Gbit
B69,MegaCulombio por metro cúbico,MC/m³
B7,Ciclo,
B70,MegaCulombio por metro cuadrado,MC/m²
B71,Megaelectrónvoltio,MeV
B72,Megagramo por metro cúbico,Mg/m³
B73,Meganewton,MN
B74,Meganewton metro,MN·m
B75,MegaOhm,MΩ
B76,MegaOhm metro,MΩ·m
B77,Megasiemens por metro,MS/m
B78,Megavoltio ,MV
B79,Megavoltio por metro,MV/m
B8,Joule por metro cúbico,J/m³
B80,Gigabit por segundo,Gbit/s
B81,"Reciprocidad del metro cuadrado, reciprocidad del segundo",m⁻²/s
B82,Pulgadas por pie lineal,
B83,Metro a la cuarta potencia,m⁴
B84,Microamperio,µA
B85,Microbar,µbar
B86,MicroCulombio,µC
B87,MicroCulombio por metro cúbico,µC/m³
B88,MicroCulombio por metro cuadrado,µC/m²
B89,Microfaradio por metro,µF/m
B9,Batt,
B90,Microhenry,µH
B91,Microhenry por metro,µH/m
B92,Micronewton,µN
B93,Micronewton metro,µN·m
B94,Micro Ohm,µΩ
B95,MicroOhm metro,µΩ·m
B96,Micropascal,µPa
B97,Microrradián,µrad
B98,Microsegundo,µs
B99,Microsiemens,µS
BAR,Bar [unidad de presión],bar
BB,Caja base,
BFT,Tablero de pies,fbm
BH,Cepillo,
BHP,Potencia al freno,BHP
BIL,Billón,
BLD,Barril seco (EUA),bbl (US)
BLL,Barril (EUA),barrel (US)
BP,Tabledo de cien pies,
BPM,Latidos por minuto,BPM
BQL,Becquerel,Bq
BTU,Unidad térmica británica (tabla internacional),BtuIT
BUA,Bushel (EUA),bu (US)
BUI,Bushel (UK),bushel (UK)
BW,Peso base,
BZ,Millones de BTUs,
C0,Llamada,
C1,Libra de producto compuesto (peso total),
C10,Milifaradio,mF
C11,Miligalón,mGal
C12,Miligramo por metro,mg/m
C13,MilliGray,mGy
C14,Milihenry,mH
C15,Milijoule,mJ
C16,Milímetro por segundo,mm/s
C17,Milímetro cuadrado por segundo,mm²/s
C18,MiliMol,mmol
C19,Mol por kilogramo,mol/kg
C2,Carset,
C20,Milinewton,mN
C21,Kibibit,Kibit
C22,Milinewton por metro,mN/m
C23,MiliOhm metro,mΩ·m
C24,Milipascal segundo,mPa·s
C25,Milirradián,mrad
C26,Milisegundo,ms
C27,Milisiemens,mS
C28,MilliSievert,mSv
C29,Militesla,mT
C3,Microvoltios por metro,µV/m
C30,Milivoltio por metro,mV/m
C31,Miliwatt,mW
C32,Miliwatt por metro cuadrado,mW/m²
C33,Miliweber,mWb
C34,Mol,mol
C35,Mol por decímetro cúbico,mol/dm³
C36,Mol por metro cúbico,mol/m³
C37,Kilobits,kbit
C38,Mol por litro,mol/l
C39,Nanoamperio,nA
C4,partido de carga,
C40,NanoCulombio,nC
C41,Nanofaradio,nF
C42,Nanofaradio por metro,nF/m
C43,Nanohenry,nH
C44,Nanohenry por metro,nH/m
C45,Nanómetro,nm
C46,NanoOhm metro,nΩ·m
C47,Nanosegundo,ns
C48,Nanotesla,nT
C49,Nanowatt,nW
C5,Costo,
C50,Neperio,Np
C51,Neperio por segundo,Np/s
C52,Picómetro,pm
C53,Newton metro segundo,N·m·s
C54,Newton metro cuadrado por kilogramo cuadrado,N·m²/kg²
C55,Newton por metro cuadrado,N/m²
C56,Newton por milímetro cuadrado,N/mm²
C57,Newton segundo,N·s
C58,Segundos newton por metro,N·s/m
C59,Octava,
C6,celda,
C60,Ohm centímetro,Ω·cm
C61,Ohm metro,Ω·m
C62,Uno,1
C63,Pársec,pc
C64,Pascal por kelvin,Pa/K
C65,Pascal segundo,Pa·s
C66,Segundos pascal por metro cúbico,Pa·s/m³
C67,Segundos pascal por metro ,Pa· s/m
C68,Petajoule,PJ
C69,Phon,
C7,Centipoise,cP
C70,Picoamperio,pA
C71,PicoCulombio,pC
C72,Picofaradio por metro,pF/m
C73,Picohenry,pH
C74,Kilobits por segundo,kbit/s
C75,Picowatt,pW
C76,Picowatt  por metro cuadrado,pW/m²
C77,Calibre de libra,
C78,Libra fuerza,lbf
C79,Kilovoltios horas amperios,kVAh
C8,MilliCulombio por kilogramo,mC/kg
C80,Rad,rad
C81,Radián,rad
C82,Radianmetro cuadrado por Mol,rad·m²/mol
C83,Rradian metro cuadrado por kilogramo,rad·m²/kg
C84,Radían por metro,rad/m
C85,Reciprocidad Ámstrong,Å⁻¹
C86,Reciprocidad del metro cúbico,m⁻³
C87,Reciprocidad metro cúbico por segundo,m⁻³/s
C88,Recíproco joule por metro cúbico,eV⁻¹/m³
C89,Henry recíproco,H⁻¹
C9,Grupo bobinas,
C90,Recíproco Henry,J⁻¹/m³
C91,Reciprocidad de kelvin ó kelvin a la potencia menos 1,K⁻¹
C92,Reciprocidad Metro,m⁻¹
C93,Reciprocidad Metro cuadrado,m⁻²
C94,Reciprocidad Minuto,min⁻¹
C95,Reciprocidad Mol,mol⁻¹
C96,Reciprocidad Pascal o pascal a la potencia menos 1 ,Pa⁻¹
C97,Reciprocidad Segundo,s⁻¹
C98,Segundo recíproco por metro cúbico,S $ ^ {1} $ / m $ ³ $
C99,Reciprocidad Segundo por metro cuadrado,s⁻¹/m²
CCT,Capacidad de carga en toneladas métricas,
CDL,Candela,cd
CE,Cada mes,
CEL,Grados celsius,°C
CEN,Centenar,
CG,Tarjeta,
CGM,Centigramo,cg
CK,Conector,
CKG,Culombio por kilogramo,C/kg
CLF,Cientos de hojas,
CLT,Centilitro,cl
CMK,Centímetro cuadrado,cm²
CMQ,Centímetro cúbico,cm³
CMT,Centímetro,cm
CNP,Cientos de paquetes,
CNT,Cental (UK),
COU,Culombio,C
CTG,Contenido en gramos,
CTM,Quilatage métrico,
CTN,Tonelada de contenido (métrica),
CUR,Curie,Ci
CWA,Hundred pound,cwt (US)
CWI,Hundredweight,cwt (UK)
CZ,Combo,
D03,Kilovatio hora por hora,kW·h/h
D04,Lot [unidad de peso],
D1,Segundo recíproco por estereorradián,s⁻¹/sr
D10,Siemens por metro,S/m
D11,Mebibit,Mibit
D12,Siemens metro cuadrado por Mol,S·m²/mol
D13,Sievert,Sv
D14,Yarda mil lineal,
D15,Sone,
D16,Centímetro cuadrado por erg,cm²/erg
D17,Centímetro cuadrado por esteroradian erg,cm²/(sr·erg)
D18,Metro kelvin,m·K
D19,Metro cuadrado kelvin por watt.,m²·K/W
D2,Segundo recíproco por estereorradián metro cuadrado,s⁻¹/(sr·m²)
D20,Metro cuadrado por joule,m²/J
D21,Metro cuadrado por kilogramo,m²/kg
D22,Metro cuadrado por Mol,m²/mol
D23,Gramo pluma (proteína),
D24,Metro cuadrado por esteroradian,m²/sr
D25,Metro cuadrado por esteroradian joule,m²/(sr·J)
D26,Metro cuadrado por voltiosegundo,m²/(V·s)
D27,Estereorradían,sr
D28,sifón,
D29,Terahertz,THz
D30,Terajoule,TJ
D31,Terawatt,TW
D32,Terawatt hora ,TW·h
D33,Tesla,T
D34,Tex,tex (g/km)
D35,Calorías (termoquímicas),º cal
D36,Megabit,Mbit
D37,Calorías (termoquímicas) por gramo de kelvin,º cal / (g · K)
D38,Calorías (termoquímicas) por segundo centímetro kelvin,º cal / (s · cm · K)
D39,Calorías (termoquímicas) por segundo centímetro cuadrado kelvin,º cal / (s · cm² · K)
D40,Mil litros,
D41,Tonelada por metro cúbico,t/m³
D42,Año tropical,y (tropical)
D43,Unidad de masa atómica unificada,u
D44,Var,var
D45,Voltio cuadrado por kelvin cuadrado,V²/K²
D46,Voltioio-amperio,V·A
D47,Voltio por centímetro,V/cm
D48,Voltio por Kelvin ,V/K
D49,Millivoltio por Kelvin ,mV/K
D5,Kilogramo por centímetro cuadrado,kg/cm²
D50,Voltio por metro,V/m
D51,Voltio por milímetro,V/mm
D52,Watt por kelvin,W/K
D53,Watt por metro kelvin,W/(m·K)
D54,Watt por metro cuadrado,W/m²
D55,Watt por metro cuadrado kelvin,W/(m²·K)
D56,Watt por metro cuadrado kelvin a la cuarta potencia,W/(m²·K⁴)
D57,Watt por estereorradián,W/sr
D58,Watt por estereorradián metro cuadrado,W/(sr·m²)
D59,Weber por metro,Wb/m
D6,Roentgen por segundo,R/s
D60,Weber por milímetro,Wb/mm
D61,Minuto [unidad de ángulo],'
D62,Segundo [unidad de ángulo],""""
D63,Libro,
D64,bloquear,
D65,Redondo,
D66,casete,
D67,Dólar por hora,
D68,Número de palabras,
D69,Pulgada a la cuarta potencia,in⁴
D7,Sandwich,
D70,Calorías (tabla internacional),Cal TI
D71,Calorías (tabla internacional) por segundo centímetro kelvin,cal TI / (s · cm · K)
D72,Calorías (tabla internacional) por segundo centímetro cuadrado kelvin,Cal TI / (s · cm² · K)
D73,Joule metro cuadrado,J·m²
D74,Kilogramo por Mol,kg/mol
D75,Calorías (tabla internacional) por gramo,cal IT / g
D76,Calorías (tabla internacional) por gramo de kelvin,cal IT / (g · K)
D77,MegaCulombio,MC
D78,Megajoule por segundo,MJ/s
D79,Viga,
D8,Draize score,
D80,Microwatt,µW
D81,Microtesla,µT
D82,Microvoltio,µV
D83,Milinewton metro,mN·m
D85,Microwatt por metro cuadrado,µW/m²
D86,MiliCulombio,mC
D87,MiliMol por kilogramo,mmol/kg
D88,MiliCulombio por metro cúbico,mC/m³
D89,MiliCulombio por metro cuadrado,mC/m²
D9,Dina por centímetro cuadrado,Dyn / cm²
D90,Metro cúbico (neta),
D91,Rem,rem
D92,banda,
D93,Segundo por metro cúbico,s/m³
D94,Segundo por metro cúbico Radian,s/(rad·m³)
D95,Joule por gramo,J/g
D96,Libra bruta,
D98,Libra masiva,
D99,manga,
DAA,Decar,daa
DAD,Decena de días,
DAY,Día,d
DB,Libra seca,
DC,Disco (disco),
DD,Grado [unidad de ángulo],°
DE,Acuerdo,
DEC,Década,
DG,Decigramo,dg
DI,dispensador,
DJ,Decagramo,dag
DLT,Decilitro,dl
DMA,Decámetro cúbico,dam³
DMK,Decímetro cuadrado ,dm²
DMO,Kiloliter norma,
DMQ,Decímetro cúbico,dm³
DMT,Decímetro,dm
DN,Decinewton metro,dN·m
DPC,Docenas de piezas,
DPR,Docenas de pares,
DPT,Peso de desplazamiento,
DQ,registro de datos,
DRA,Dram (EUA),
DRI,Dram (UK),
DRL,Docena de rodillos,
DRM,Drachm (UK),
DS,monitor,
DT,Tonelada seca,
DTN,Decitonelada métrica,dt or dtn
DU,dina,Dyn
DWT,Pennyweight,
Dx,Dina por centímetro,Dyn / cm
DY,Libro de directorio,
DZN,Docena,DOZ
DZP,Docena de paquete,
E01,Newton por centímetro cuadrado,N/cm²
E07,Megawatt hora por hora,MW·h/h
E08,Megavatios por hertz,MW/Hz
E09,Miliamperio hora,mA·h
E10,Día de grado,deg da
E11,Gigacalorie,
E12,Mille,
E14,Kilocaloría (tabla internacional),kcalIT
E15,Kilocaloría (termoquímica) por hora,kcalth/h
E16,Millón de btu (ti) por hora,BtuIT/h
E17,Pie cúbico por segundo,ft³/s
E18,Tonelada por hora,t/h
E19,Ping,
E20,Megabit por segundo,Mbit/s
E21,Shares,
E22,Tue,
E23,Neumático,
E25,Unidad activa,
E27,Dosis,
E28,Tonelada seca de aire,
E3,remolque,
E30,Hebra,
E31,Metro cuadrado por litro,m²/l
E32,Litros por hora,l/h
E33,Por mil pies,
E34,Gigabyte,Gbyte
E35,Terabyte,Tbyte
E36,Petabyte,Pbyte
E37,Pixel,
E38,Megapíxeles,
E39,Puntos por pulgada,dpi
E4,Kilo bruto,
E40,Parte por cien mil,ppht
E41,Kilogramo-fuerza por milímetro cuadrado,kgf·m/cm²
E42,Kilogramo-fuerza por centímetro cuadrado,kgf/cm²
E43,Joule por centímetro cuadrado,J/cm²
E44,Metros kilogramo-fuerza por centímetro cuadrado,kgf·m/cm²
E45,MiliOhm,mΩ
E46,Kilovatio hora por metro cúbico,kW·h/m³
E47,Kilovatio hora por kelvin,kW·h/K
E48,Unidad de servicio,
E49,Día de trabajo,
E5,Tonelada métrica larga,
E50,Unidad de cuenta,
E51,Trabajo,
E52,Run foot,
E53,Prueba,
E54,Viaje,
E55,Utilizar,
E56,Bien,
E57,Zona,
E58,Exabit por segundo,Ebit/s
E59,Exbibyte,Eibyte
E60,Pebibyte,Pibyte
E61,Tebibyte,Tibyte
E62,Gibibyte,Gibyte
E63,Mebibyte,Mibyte
E64,Kibibyte,Kibyte
E65,Exbibit por metro,Eibit/m
E66,Exbibit por metro cuadrado,Eibit/m²
E67,Exbibit por metro cúbico,Eibit/m³
