clave_unidad,nombre,simbolo
E68,Gigabyte por segundo,Gbyte/s
E69,Gibibit por metro,Gibit/m
E70,Gibibit por metro cuadrado,Gibit/m²
E71,Gibibit por metro cúbico,Gibit/m³
E72,Kibibit por metro,Kibit/m
E73,Kibibit por metro cuadrado,Kibit/m²
E74,Kikibit por metro cúbico.,Kibit/m³
E75,Mebbit por metro.,Mibit/m
E76,Mebbitt por metro cuadrado.,Mibit/m²
E77,Mebbit por metro cúbico. ,Mibit/m³
E78,Petabit,Pbit
E79,Pebibit por segundo.,Pbit/s
E80,Pebibit por metro.,Pibit/m
E81,Pebibit por metro cuadrado.,Pibit/m²
E82,Pebibit por metro cúbico.,Pibit/m³
E83,Tebibit.,Tbit
E84,Tebibit por segundo,Tbit/s
E85,Tebibit por metro.,Tibit/m
E86,Tebibit por metro cúbico.,Tibit/m³
E87,Tebibit por metro cuadrado,Tibit/m²
E88,Bit por metro,bit/m
E89,Bit por metro cuadrado,bit/m²
E90,Centímetro recíproco,cm⁻¹
E91,Día recíproco,d⁻¹
E92,Decímetro cúbico por hora,dm³/h
E93,Kilogramo por hora,kg/h
E94,KiloMol por segundo,kmol/s
E95,Mol por segundo,mol/s
E96,Grado por segundo,°/s
E97,Mililitro por gadro celsius metro,mm/(°C·m)
E98,Grado celsius por kelvin,°C/K
E99,Hectopascal por bar,hPa/bar
EA,Elemento,
EB,Casilla de correo electrónico,
EP,Paquete de once,
EQ,Galón equivalente,
F01,Bit por metro cúbico,bit/m³
F02,Kelvin por kelvin,K/K
F03,Kilopascal por bar,kPa/bar
F04,Milibar por bar,mbar/bar
F05,Megapascal por bar,MPa/bar
F06,Poise por bar,P/bar
F07,Pascal por bar,Pa/bar
F08,Miliamperio por pulgada,mA/in
F1,Mil pies cúbicos por día,
F10,Kelvin por hora,K/h
F11,Kelvin por minuto,K/min
F12,Kelvin por segundo,K/s
F13,Slug,slug
F14,Gramo por kelvin,g/K
F15,Kilogramo por kelvin,kg/K
F16,Miligramo por kelvin,mg/K
F17,Libra fuerza por pie,lbf/ft
F18,Kilogramo centímetro cuadrado,kg·cm²
F19,Kilogramo milimetro cuadrado,kg·mm²
F20,Libra pulgada cuadrada,lb·in²
F21,Libra fuerza pulgada,lbf·in
F22,Libra fuerza por pie entre amperio,lbf·ft/A
F23,Gramo por decímetro cúbico,g/dm³
F24,Kilogramo por kiloMol,kg/kmol
F25,Gramo por hertz,g/Hz
F26,Gramo por día,g/d
F27,Gramo por hora,g/h
F28,Gramo por minuto,g/min
F29,Gramo por segundo,g/s
F30,Kilogramo por día,kg/d
F31,Kilogramo por minuto,kg/min
F32,Miligramo por dia,mg/d
F33,Miligramo por minuto,mg/min
F34,Miligramo por segundo,mg/s
F35,Gramo por día kelvin,g/(d·K)
F36,Gramo por hora kelvin,g/(h·K)
F37,Gramo por minuto kelvin,g/(min·K)
F38,Gramo por segundo kelvin,g/(s·K)
F39,Kilogramo por día kelvin,kg/(d·K)
F40,Kilogramo por hora kelvin,kg/(h·K)
F41,Kilogramo por minuto kelvin,kg/(min·K)
F42,Kilogramo por segundo kelvin,kg/(s·K)
F43,Miligramo por día kelvin,mg/(d·K)
F44,Miligramo por hora kelvin,mg/(h·K)
F45,Miligramo por minuto kelvin,mg/(min·K)
F46,Miligramo por segundo kelvin,mg/(s·K)
F47,Newton por milímetro,N/mm
F48,Libra fuerza por pulgada,lbf/in
F49,Rod (Unidad de distancia),rd (US)
F50,Micrómetro por kelvin,µm/K
F51,Centímetro por kelvin,cm/K
F52,Metro por kelvin,m/K
F53,Mililitro por kelvin,mm/K
F54,MiliOhm por metro,mΩ/m
F55,Ohm por milla (milla estatal),Ω/mi
F56,Ohm por kilómetro,Ω/km
F57,Miliamperio por libra-fuerza por pulgada cuadrada,mA/(lbf/in²)
F58,Bar recíproco,1/bar
F59,Miliamperio por bar,mA/bar
F60,Grado celsius por bar,°C/bar
F61,Kelvin por bar,K/bar
F62,Gramo por día bar,g/(d·bar)
F63,Gramo por hora bar,g/(h·bar)
F64,Gramo por minuto bar,g/(min·bar)
F65,Gramo por segundo bar,g/(s·bar)
F66,Kililogramo por día bar,kg/(d·bar)
F67,Kilogramo por hora bar,kg/(h·bar)
F68,Kilogramo por minuto bar,kg/(min·bar)
F69,Kilogramo por segundo bar,kg/(s·bar)
F70,Miligramo por día bar,mg/(d·bar)
F71,Miligramo por hora bar,mg/(h·bar)
F72,Miligramo por minuto bar,mg/(min·bar)
F73,Miligramo por segundo bar,mg/(s·bar)
F74,Gramo por bar,g/bar
F75,Miligramo por bar,mg/bar
F76,Miliamperio por milímetro,mA/mm
F77,Pascal segundo por kelvin,Pa.s/K
F78,Pulgada de agua,inH₂O
F79,Pulgada de mercurio,inHg
F80,Caballos de fuerza de agua,
F81,Bar por kelvin,bar/K
F82,Hectopascal por kelvin,hPa/K
F83,Kilopascal por kelvin,kPa/K
F84,Milibar por kelvin,mbar/K
F85,Megapascal por kelvin,MPa/K
F86,Poise por kelvin,P/K
F87,Voltio por litro minuto,V/(l·min)
F88,Newton centímetro,N·cm
F89,Newton metro por grados,Nm/°
F9,Fibra por centímetro cúbico de aire,
F90,Newton metro por amperio,N·m/A
F91,Bar litro por segundo,bar·l/s
F92,Bar metro cúbico por segundo,bar·m³/s
F93,Hectopascal litro por segundo,hPa·l/s
F94,Hectopascal metro cúbico por segundo,hPa·m³/s
F95,Milibar litro por segundo,mbar·l/s
F96,Milibar metro cúbico por segundo,mbar·m³/s
F97,Megapascal litro por segundo,MPa·l/s
F98,Megapascal metro cúbico por segundo,MPa·m³/s
F99,Pascal litro por segundo,Pa·l/s
FAH,Grado fahrenheit,°F
FAR,Farad,F
FB,campo,
FBM,Medidor de fibra,
FC,Mil pies cúbicos,kft³
FD,Millones de partículas por pie cúbico,
FE,Pie de pista,
FF,Cien metros cúbicos,
FG,Parche transdérmico,
FH,MicroMol,µmol
FIT,Fallas en el tiempo,FIT
FL,Flake ton,
FM,Millones de pies cúbicos,Mft³
FOT,Pie,ft
FP,Libra por pie cuadrado,lb/ft²
FR,Pie por minuto,ft/min
FS,Pie por segundo,ft/s
FTK,Pie cuadrado,ft²
FTQ,Pie cúbico,ft³
G01,Pascal metro cúbico por segundo,Pa·m³/s
G04,Centímetro por bar,cm/bar
G05,Metro por bar ,m/bar
G06,Milímetro por bar ,mm/bar
G08,Pulgada cuadrada por segundo,in²/s
G09,Metro cuadrado por segundo kelvin,m²/(s·K)
G10,Stokes por kelvin,St/K
G11,Gramo por centímetro cúbico bar,g/(cm³·bar)
G12,Gramo por decímetro cúbico bar,g/(dm³·bar)
G13,Gramo por litro bar,g/(l·bar)
G14,Gramo por metro cúbico bar,g/(m³·bar)
G15,Gramo por mililitro bar,g/(ml·bar)
G16,Kilogramo por centímetro cúbico bar,kg/(cm³·bar)
G17,Kilogramo por litro bar,kg/(l·bar)
G18,Kilogramo por metro cúbico bar,kg/(m³·bar)
G19,Newton metro por kilogramo,N·m/kg
G2,Galón (EUA) por minuto,gal (US) /min
G20,Libra-fuerza pie por libra,lbf·ft/lb
G21,Taza (unidad de volumen),cup (US)
G23,Peck,pk (US)
G24,Cucharada (estados unidos),tablespoon (US)
G25,Cucharilla (estados unidos),teaspoon (US)
G26,Estere,st
G27,Centímetro cúbico por kelvin,cm³/K
G28,Litro por kelvin,l/K
G29,Metro cúbico por kelvin,m³/K
G3,Galón (RU) por minuto,gal (UK) /min
G30,Mililitro por klevin,ml/K
G31,Kilogramo por centímetro cúbico,kg/cm³
G32,Onza (avoirdupois) por yarda cúbica,oz/yd³
G33,Gramo por centímetro cúbico kelvin,g/(cm³·K)
G34,Gramo por decímetro cúbico kelvin,g/(dm³·K)
G35,Gramo por litro kelvin,g/(l·K)
G36,Gramo por metro cúbico kelvin,g/(m³·K)
G37,Gramo por mililitro kelvin,g/(ml·K)
G38,Kilogramo por centímetro cúbico kelvin,kg/(cm³·K)
G39,Kilogramo por litro kelvin,kg/(l·K)
G40,Kilogramo por metro cúbico kelvin,kg/(m³·K)
G41,Metro cuadrado por segundo bar,m²/(s·bar)
G42,Microsiemens por centímetro,µS/cm
G43,Microsiemens por metro,µS/m
G44,Nanosiemens por centímetro,nS/cm
G45,Nanosiemens por metro,nS/m
G46,Stokes por bar,St/bar
G47,Centímetro cúbico por día,cm³/d
G48,Centímetro cúbico por hora,cm³/h
G49,Centímetro cúbico por minuto,cm³/min
G50,Galón por hora,gal/h
G51,Litro por segundo,l/s
G52,Metro cúbico por día,m³/d
G53,Metro cúbico por minuto,m³/min
G54,Mililitro por día,ml/d
G55,Mililitro por hora,ml/h
G56,Pulgada cúbica por hora,in³/h
G57,Pulgada cúbica por minuto,in³/min
G58,Pulgada cúbica por segundo,in³/s
G59,Miliamperio por litro minuto,mA/(l·min)
G60,Voltio por bar,V/bar
G61,Centímetro cúbico por día kelvin,cm³/(d·K)
G62,Centímetro cúbico por hora kelvin,cm³/(h·K)
G63,Centímetro cúbico por minuto kelvin,cm³/(min·K)
G64,Centímetro cúbico por segundo kelvin,cm³/(s·K)
G65,Litro por día kelvin,l/(d·K)
G66,Litro por hora kelvin,l/(h·K)
G67,Litro por minuto kelvin,l/(min·K)
G68,Litro por segundo kelvin,l/(s·K)
G69,Metro cúbico por día kelvin,m³/(d·K)
G7,Hoja de microficha,
G70,Metro cúbico por hora kelvin,m³/(h·K)
G71,Metro cúbico por minuto kelvin,m³/(min·K)
G72,Metro cúbico por segundo kelvin,m³/(s·K)
G73,Mililitro por día kelvin,ml/(d·K)
G74,Mililitro por hora kelvin,ml/(h·K)
G75,Mililitro por minuto kelvin,ml/(min·K)
G76,Mililitro por segundo kelvin,ml/(s·K)
G77,Milímetro a la cuarta potencia ,mm⁴
G78,Centímetro cúbico por día bar,cm³/(d·bar)
G79,Centímetro cúbico por hora bar,cm³/(h·bar)
G80,Centímetro cúbico por minuto bar,cm³/(min·bar)
G81,Centímetro cúbico por segundo bar,cm³/(s·bar)
G82,Litro por día bar,l/(d·bar)
G83,Litro por hora bar,l/(h·bar)
G84,Litro por minuto bar,l/(min·bar)
G85,Litro por segundo bar,l/(s·bar)
G86,Metro cúbico por día bar,m³/(d·bar)
G87,Metro cúbico por hora bar,m³/(h·bar)
G88,Metro cúbico por minuto bar,m³/(min·bar)
G89,Metro cúbico por segundo bar,m³/(s·bar)
G90,Mililitro por día bar,ml/(d·bar)
G91,Mililitro por hora bar,ml/(h·bar)
G92,Mililitro por minuto bar,ml/(min·bar)
G93,Mililitro por segundo bar,ml/(s·bar)
G94,Centímetro cúbico por bar,cm³/bar
G95,Litro por bar,l/bar
G96,Metro cúbico por bar,m³/bar
G97,Mililitro por bar ,ml/bar
G98,Micro henry por kiloOhm,µH/kΩ
G99,Micro henry por Ohm,µH/Ω
GB,Galón (EUA) por día,gal (US)/d
GBQ,Gigabecquerel,GBq
GC,Gramo por 100 gramos,
Gd,Barril bruto,
GDW,"Gramo, peso seco",
GE,Libra por galón (EUA),lb/gal (US)
GF,Gramo por metro (gramo por 100 centímetros),g/m
GFI,Gramo de isótopo fisible,gi F/S
GGR,Grandioso,
GH,Medio galón (US),
GIA,Gill (us),gi (US)
GIC,"Gramo, incluido el contenedor",
GII,Gill (uk),gi (UK)
GIP,"Grama, incluido el embalaje interior",
GJ,Gramo por mililitro,g/ml
GK,Gramo por kilogramo,
GL,Gramo por litro,g/l
GLD,Galón seco (EUA),dry gal (US)
GLI,Galón (UK),gal (UK)
GLL,Galón (EUA),gal (US)
GM,Gramo por metro cuadrado,g/m²
GN,Galón bruto,
GO,Miligramo por metro cuadrado,mg/m²
GP,Miligramo por metro cúbico,mg/m³
GQ,Microgramo por metro cúbico,µg/m³
GRM,Gramo,g
GRN,Grano,gr
GRO,Gross,gr
GT,Tonelada bruta,
GV,Gigajoule,GJ
GW,Galón por mil pies cúbicos,
GWH,Gigawatt hora,GW·h
GY,Patio grueso,
GZ,Sistema de calibración,
H03,Henry por kiloOhm,H/kΩ
H04,Henry por Ohm,H/Ω
H05,Milihenry por kiloOhm,mH/kΩ
H06,Milihenry por Ohm,mH/Ω
H07,Pascal segundo por bar,Pa·s/bar
H08,Microbequerel,µBq
H09,Año recíproco,1/y
H1,Media página - electrónica,
H10,Hora recíproca,1/h
H11,Mes recíproco,1/mo
H12,Grado celsius por hora,°C/h
H13,Grado celsius por minuto,°C/min
H14,Grado celsius por segundo,°C/s
H15,Centímetro cuadrado por gramo,cm²/g
H16,Decámetro cuadrado,dam²
H18,Hectómetro cuadrado,hm²
H19,Hectómetro cúbico,hm³
H2,Medio litro,
H20,Kilómetro cúbico,km³
H21,Blanco,
H22,Voltio pulgada cuadrada por libra fuerza,V/(lbf/in²)
H23,Voltio por pulgada,V/in
H24,Voltio por microsegundo,V/µs
H25,Por ciento por kelvin,%/K
H26,Ohm por metro,Ω/m
H27,Grado por metro,°/m
H28,Microfaradio por kilómetro,µF/km
H29,Microgramo por litro,µg/l
H30,Micrómetro cuadrado,µm²
H31,Amperio por kilogramo,A/kg
H32,Amperio cuadrado segundo,A²·s
H33,Faradio por kilómetro,F/km
H34,Hertz metro,Hz·m
H35,Kelvin metro por watt,K·m/W
H36,MegaOhm por kilómetro,MΩ/km
H37,MegaOhm por metro,MΩ/m
H38,Megaamperio,MA
H39,Megahertz kilómetro,MHz·km
H40,Newton por amperio,N/A
H41,Newton metro watts elevado a la potencia menos 0.5,N·m·W⁻⁰‧⁵
H42,Pascal por metro,Pa/m
H43,Siemens por centímetro,S/cm
H44,TeraOhm,TΩ
H45,Voltio segundo por metro,V·s/m
H46,Voltio por segundo,V/s
H47,Watt por metro cúbico,W/m³
H48,Attofarad,aF
H49,Centímetro por hora,cm/h
H50,Reciprocidad del centímetro cúbico,cm⁻³
H51,Decibel per kilometro,dB/km
H52,Decibel per metro,dB/m
H53,Kilogramo por bar,kg/bar
H54,Kilogramo por decímetro cúbico kelvin ,(kg/dm³)/K
H55,Kilogramo por decímetro cúbico bar,(kg/dm³)/bar
H56,Kilogramo por metro cuadrado segundo,kg/(m²·s)
H57,Pulgada por dos pi por radián,in/revolution
H58,Metro por voltio segundo,m/(V·s)
H59,Metro cuadrado por newton,m²/N
H60,Metro cúbico por metro cúbico,m³/m³
H61,Milisiemens por centímetro,mS/cm
H62,Milivoltio por minuto,mV/min
H63,Miligramo por centímetro cuadrado,mg/cm²
H64,Miligramo por gramo,mg/g
H65,Mililitro por metro cúbico,ml/m³
H66,Milímetro por año ,mm/y
H67,Milímetro por hora,mm/h
H68,MiliMol por gram,mmol/g
H69,Picopascal por kilometro,pPa/km
H70,Picosegundo,ps
H71,Por ciento al mes,%/mo
H72,Por ciento por hectobar,%/hbar
H73,Por ciento por decakelvin,%/daK
H74,Watt por metro,W/m
H75,Decapascal,daPa
H76,Gramo por milímetro,g/mm
H77,Anchura del módulo,MW
H78,Centímetro convencional de agua,Cm H $ ₂ $ O
H79,Escala francesa ,Fg
H80,Unidad de bastidor,U or RU
H81,Milímetro por minuto,mm/min
H82,Punto grande,bp
H83,Litro por kilogramo,l/kg
H84,Gramos milímetro,g·mm
H85,Semana recíproca,1/wk
H87,Pieza,
H88,MegaOhm kilómetro,MΩ·km
H89,Por ciento por Ohmio,%/Ω
H90,Porcentaje por grado,%/°
H91,Por ciento por cada diez mil,%/10000
H92,Ciento por cien mil,%/100000
H93,Porcentaje por cien,%/100
H94,Por ciento por mil,%/1000
H95,Por ciento por voltio,%/V
H96,Tanto por ciento por bar,%/bar
H98,Por ciento por pulgada,%/in
H99,Por ciento por metro,%/m
HA,Madeja,
HAR,hectárea,decir ah
HBA,Hectobar ,hbar
HBX,Ciento de cajas,
HC,Conteo en cientos,
HD,Media docena,
HDW,"Cien kilogramos, peso seco",
HE,Centésima de un quilate,
HEA,Cabeza,
HF,Cien pies,
HGM,Hectogramo,hg
HH,Cien pies cúbicos,
HI,Cien hojas,
HIU,Unidad internacional de cien,
HJ,Potencia métrica,Hp métrico
HK,Cien kilogramos,
HKM,"Cien kilogramos, masa neta",
HL,Cien pies (lineal),
HLT,Hectolitro,hl
HM,Milla por hora (milla estatal),mile/h
HMQ,Millones de metros cúbicos,Mm³
HMT,Hectómetro,hm
HN,Milímetro convencional de mercurio,Mm Hg
HO,Cien onzas troy,
HP,Milímetro convencional de agua,Mm H $ ₂ $ O
HPA,Hectolitro de alcohol puro,
HS,Cien pies cuadrados,
HT,media hora,
HTZ,Hertz,Hz
HUR,Hora,h
HY,Cien yardas,
IA,Pulgada libra,in·lb
IC,Contar por pulgada,
IE,Personas,
IF,Pulgadas de agua,
II,Columna pulgada,
IM,Impresión,
INH,Pulgada,in
INK,Pulgada cuadrada,in²
INQ,Pulgada cúbica,in³
IP,póliza de seguros,
ISD,Grado internacional de azúcar,
IT,Recuento por centímetro,
IU,Pulgada por segundo,in/s
IV,Pulgada por segundo al cuadrado,in/s²
J10,Por ciento por milímetro,%/mm
J12,Por mille por psi,‰/psi
J13,Grado api,°API
J14,Grado baume (escala de origen),°Bé
J15,Grado baume (us pesado),°Bé (US heavy)
J16,Grado baume (luz de los EUA),°Bé (US light)
J17,Grado balling,°Balling
J18,Grado brix,°Bx
J19,Grado fahrenheit hora pie cuadrado por unidad térmica británica (termoquímico).,°F·h·ft²/Btuth
J2,Joule por kilogramo,J/kg
J20,Grado fahrenheit por kelvin,°F/K
J21,Grado fahrenheit por bar,°F/bar
J22,Grado fahrenheit hora pie cuadrado por unidad térmica británica (tabla internacional).,°F·h·ft²/BtuIT
J23,Grado fahrenheit por hora,°F/h
J24,Grado fahrenheit por minuto,°F/min
J25,Grado fahrenheit por segundo,°F/s
J26,Reciprocidad grado fahrenheit,1/°F
J27,Grado oechsle,°Oechsle
J28,Grado rankine por hora,°R/h
J29,Grado rankine por minuto,°R/min
J30,Grado rankine por segundo,°R/s
J31,Grado twaddel.,°Tw
J32,Micropoise,µP
J33,Microgramo por kilogramo,µg/kg
J34,Microgramo por metro cúbico kelvin,(µg/m³)/K
J35,Microgramo por metro cúbico bar,(µg/m³)/bar
J36,Microlitro por litro,µl/l
J38,Baud,Bd
J39,Unidad térmica británica (significado),Btu
J40,Unidad térmica británica (tabla internacional) pie por hora pie cuadrado grado fahrenheit.,BtuIT·ft/(h·ft²·°F)
J41,Unidad térmica británica (tabla internacional) pulgada por hora pie cuadrado grado fahrenheit.,BtuIT·in/(h·ft²·°F)
J42,Unidad térmica británica (tabla internacional) pulgada por segundo pie cuadrado grado fahrenheit.,BtuIT·in/(s·ft²·°F)
J43,Unidad térmica británica (tabla internacional) por libra grado fahrenheit,BtuIT/(lb·°F)
J44,Unidad térmica británica (tabla internacional) por minuto,BtuIT/min
J45,Unidad térmica británica (tabla internacional) por segundo,BtuIT/s
J46,Unidad térmica británica (termoquímico) pie por hora pie cuadrado grado fahrenheit.,Btuth·ft/(h·ft²·°F)
J47,Unidad térmica británica (termoquímica) por hora,Btuth/h
J48,Unidad térmica británica (termoquímico) pulgada por hora pie cuadrado grado fahrenheit.,Btuth·in/(h·ft²·°F)
J49,Unidad térmica británica (termoquímico) pulgada por segundo pie cuadrado grado fahrenheit.,Btuth·in/(s·ft²·°F)
J50,Unidad térmica británica (termoquímico) por libra grado fahrenheit,Btuth/(lb·°F)
J51,Unidad térmica británica (termoquímica) por minuto,Btuth/min
J52,Unidad térmica británica (termoquímica) por segundo,Btuth/s
J53,Culombio metro cuadrado por kilogramo,C·m²/kg
J54,Megabaud,MBd
J55,Watt segundo,W·s
J56,Bar por bar,bar/bar
J57,Barril (uk petróleo),bbl (UK liq.)
J58,Barril (petróleo UK) por minuto,bbl (UK liq.)/min
J59,Barril (petróleo UK) por día,bbl (UK liq.)/d
J60,Barril (petróleo UK) por hora,bbl (UK liq.)/h
J61,Barril (petróleo UK) por segundo,bbl (UK liq.)/s
J62,Barril (petróleo estados unidos) por hora,bbl (US)/h
J63,Barril (petróleo estados unidos) por segundo,bbl (US)/s
J64,Bushel (UK) por día ,bu (UK)/d
J65,Bushel (UK) por hora,bu (UK)/h
J66,Bushel (UK) por minuto,bu (UK)/min
J67,Bushel (UK) por segundo,bu (UK)/s
J68,"Bushel (seco, estados unidos) por día",bu (US dry)/d
J69,"Bushel (seco, estados unidos) por hora",bu (US dry)/h
J70,"Bushel (seco, estados unidos) por minuto",bu (US dry)/min
J71,"Bushel (seco, estados unidos) por segundo",bu (US dry)/s
J72,Centinewton metro,cN·m
J73,Centipoise por kelvin,cP/K
J74,Centipoise por bar,cP/bar
J75,Caloría,cal
J76,Caloría (tabla internacional) por gramo grado celsius,calIT/(g·°C)
J78,Caloría (termoquímica) por centímetro segundo grado celsius,calth/(cm·s·°C)
J79,Caloría (termoquímico) por gramo grado celsius,calth/(g·°C)
J81,Caloría (termoquímica) por minuto,calth/min
J82,Caloría (termoquímica) por segundo,calth/s
J83,Clo,clo
J84,Centímetro por segundo kelvin,(cm/s)/K
J85,Centímetro por segundo bar,(cm/s)/bar
J87,Centímetro cúbico por metro cúbico,cm³/m³
J89,Centímetro de mercurio,Cm Hg
J90,Decímetro cúbico por día,dm³/d
J91,Decímetro cúbico por metro cúbico,dm³/m³
J92,Decímetro cúbico por minuto,dm³/min
J93,Decímetro cúbico por segundo,dm³/s
J94,Dina centímetro,Dyn · cm
J95,"Onza (fluido, UK) por día",fl oz (UK)/d
J96,"Onza (fluido, UK) por hora",fl oz (UK)/h
J97,"Onza (fluido, UK) por minuto",fl oz (UK)/min
J98,"Onza (fluido, UK) por segundo",fl oz (UK)/s
J99,"Onza (fluido, estados unidos) por día",fl oz (US)/d
JB,Jumbo,
JE,Joule por kelvin,J/K
JK,Megajoule por kilogramo,MJ/kg
JM,Megajoule por metro cúbico,MJ/m³
JNT,Junta de tubería,
Jo,Articulación,
JOU,Joule,J
JPS,Cien metros,
JWL,Número de joyas,
K1,Demanda de kilowatt,
K10,"Onza (fluido, estados unidos) por hora",fl oz (US)/h
K11,"Onza (fluido, estados unidos) por minuto",fl oz (US)/min
K12,"Onza (fluido, estados unidos) por segundo",fl oz (US)/s
K13,Pie por grado fahrenheit,ft/°F
K14,Pie por hora,ft/h
K15,Pie libra-fuerza por hora,ft·lbf/h
K16,Pie libra-fuerza por minuto,ft·lbf/min
K17,Pie por psi (libra por pulgada cuadrada),ft/psi
K18,Pie por segundo grado fahrenheit,(ft/s)/°F
K19,Pie por segundo psi (libra por pulgada cuadrada),(ft/s)/psi
K2,Kilovoltios amperios demanda reactiva,
K20,Reciprocidad del pie cuadrado,1/ft³
K21,Pie cúbico por grado fahrenheit,ft³/°F
K22,Pie cúbico por día,ft³/d
K23,Pie cúbico por psi (libra por pulgada cuadrada),ft³/psi
K24,Pie de agua,Ft H $ ₂ $ O
K25,Pie de mercurio,Ft Hg
K26,Galón (UK) por día,gal (UK)/d
K27,Galón (UK) por hora,gal (UK)/h
K28,Galón (UK) por segundo,gal (UK)/s
K3,Kilovoltio amperio hora reactivo,kvar·h
K30,"Galón (líquido, EUA) por segundo",gal (US liq.)/s
K31,Gramo-fuerza por centímetro cuadrado,gf/cm²
K32,Gill (UK) por día,gi (UK)/d
K33,Gill (UK) por hora,gi (UK)/h
K34,Gill (UK) por minuto,gi (UK)/min
K35,Gill (UK) por segundo,gi (UK)/s
K36,Gill (estados unidos) por día,gi (US)/d
K37,Gill (estados unidos) por hora,gi (US)/h
K38,Gill (estados unidos) por minuto,gi (US)/min
K39,Gill (estados unidos) por segundo,gi (US)/s
K40,Aceleración estándar de la caída libre,gn
K41,Grano por galón (EUA),gr/gal (US)
K42,Caballo de fuerza de caldera ,boiler hp
K43,Caballo de fuerza (eléctrico),electric hp
K45,Pulgada por grado fahrenheit,in/°F
K46,Pulgada por psi (libra por pulgada cuadrada),in/psi
K47,Pulgada por segundo grado fahrenheit,(in/s)/°F
K48,Pulgada por segundo psi (libra por pulgada cuadrada),(in/s)/psi
